counsellingType,year,round,institute,academicProgram,quota,seatType,gender,openingRankRaw,closingRankRaw,sourceLabel,sourceUrl
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,9106,13018,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),18286,20788,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1755,1975,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),3122,3308,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3573,4796,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),7450,8530,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1680,2485,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),4031,4172,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,651,867,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1521,1626,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
JOSAA,2024,1,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2372,3404,Official JoSAA 2024 OR-CR Archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx
