serial,id,stage,classes,trait,section,domains,streams,subjects,entranceExams,targetCourses,careerFamilies,interestClusters,skills,combinationKeys,text
"1","v7_class8_achievement_001","foundation","class-8","achievement","motivation","general","","","","","","achievement","goal orientation | persistence","domain:general | domain:general|trait:achievement","Reaching a difficult goal feels especially satisfying to me."
"2","v7_class8_achievement_002","foundation","class-8","achievement","academic-habits","arts_performance","performing arts | fine arts | humanities | arts","music | dance | theatre | fine arts","performance audition | music entrance | dance entrance","performing arts | music | dance | theatre","performing arts | creative arts | entertainment","achievement | creativity | performance | communication","goal orientation | persistence","domain:arts performance | stream:performing arts | stream:fine arts | stream:humanities | stream:arts | exam:performance audition | exam:music entrance | exam:dance entrance | stream:performing arts|subject:music | stream:performing arts|subject:dance | stream:performing arts|subject:theatre | stream:performing arts|subject:fine arts | stream:fine arts|subject:music | stream:fine arts|subject:dance | stream:fine arts|subject:theatre | stream:fine arts|subject:fine arts | stream:humanities|subject:music | stream:humanities|subject:dance | stream:humanities|subject:theatre | stream:humanities|subject:fine arts | stream:arts|subject:music | stream:arts|subject:dance | stream:arts|subject:theatre | stream:arts|subject:fine arts | stream:performing arts|exam:performance audition | stream:performing arts|exam:music entrance | stream:performing arts|exam:dance entrance | stream:fine arts|exam:performance audition | stream:fine arts|exam:music entrance | stream:fine arts|exam:dance entrance | stream:humanities|exam:performance audition | stream:humanities|exam:music entrance | stream:humanities|exam:dance entrance | stream:arts|exam:performance audition | stream:arts|exam:music entrance | stream:arts|exam:dance entrance | exam:performance audition|course:performing arts | exam:performance audition|course:music | exam:performance audition|course:dance | exam:performance audition|course:theatre | exam:music entrance|course:performing arts | exam:music entrance|course:music | exam:music entrance|course:dance | exam:music entrance|course:theatre | exam:dance entrance|course:performing arts | exam:dance entrance|course:music | exam:dance entrance|course:dance | exam:dance entrance|course:theatre | domain:arts performance|trait:achievement","If I know I can improve my performance, I am willing to put in extra effort."
"3","v7_class8_achievement_003","foundation","class-8","achievement","challenge","general","","","","","","achievement","goal orientation | persistence","domain:general | domain:general|trait:achievement","I sometimes choose a challenging task because completing it would help me improve."
"4","v7_class8_achievement_004","foundation","class-8","achievement","feedback","general","","","","","","achievement","goal orientation | persistence","domain:general | domain:general|trait:achievement","Seeing measurable improvement in my skills or results motivates me to continue."
"5","v7_class8_achievement_005","foundation","class-8","achievement","career-exploration","general","","","","","","achievement","goal orientation | persistence","domain:general | domain:general|trait:achievement","I would like a future where I can keep progressing toward higher levels of skill or responsibility."
"6","v7_class8_achievement_006","foundation","class-8","achievement","persistence","general","","","","","","achievement","goal orientation | persistence","domain:general | domain:general|trait:achievement","When an important goal takes longer than expected, I usually want to keep working until I make progress."
"7","v7_class8_achievement_007","foundation","class-8","achievement","strength","general","","","","","","achievement","goal orientation | persistence","domain:general | domain:general|trait:achievement","I feel motivated when a school project gives me a difficult but achievable challenge."
"8","v7_class8_achievement_008","foundation","class-8","achievement","problem-solving","general","","science","","","","achievement","goal orientation | persistence","domain:general | domain:general|trait:achievement","Finishing a science activity successfully gives me a strong sense of satisfaction."
"9","v7_class8_achievement_009","foundation","class-8","achievement","work-style","arts_performance","performing arts | fine arts | humanities | arts","mathematics | music | dance | theatre | fine arts","performance audition | music entrance | dance entrance","performing arts | music | dance | theatre","performing arts | creative arts | entertainment","achievement | creativity | performance | communication","goal orientation | persistence","domain:arts performance | stream:performing arts | stream:fine arts | stream:humanities | stream:arts | exam:performance audition | exam:music entrance | exam:dance entrance | stream:performing arts|subject:mathematics | stream:performing arts|subject:music | stream:performing arts|subject:dance | stream:performing arts|subject:theatre | stream:fine arts|subject:mathematics | stream:fine arts|subject:music | stream:fine arts|subject:dance | stream:fine arts|subject:theatre | stream:humanities|subject:mathematics | stream:humanities|subject:music | stream:humanities|subject:dance | stream:humanities|subject:theatre | stream:arts|subject:mathematics | stream:arts|subject:music | stream:arts|subject:dance | stream:arts|subject:theatre | stream:performing arts|exam:performance audition | stream:performing arts|exam:music entrance | stream:performing arts|exam:dance entrance | stream:fine arts|exam:performance audition | stream:fine arts|exam:music entrance | stream:fine arts|exam:dance entrance | stream:humanities|exam:performance audition | stream:humanities|exam:music entrance | stream:humanities|exam:dance entrance | stream:arts|exam:performance audition | stream:arts|exam:music entrance | stream:arts|exam:dance entrance | exam:performance audition|course:performing arts | exam:performance audition|course:music | exam:performance audition|course:dance | exam:performance audition|course:theatre | exam:music entrance|course:performing arts | exam:music entrance|course:music | exam:music entrance|course:dance | exam:music entrance|course:theatre | exam:dance entrance|course:performing arts | exam:dance entrance|course:music | exam:dance entrance|course:dance | exam:dance entrance|course:theatre | domain:arts performance|trait:achievement","I like finding ways to improve my performance while doing a mathematics task."
"10","v7_class8_achievement_010","foundation","class-8","achievement","interest","general","","","","","","achievement","goal orientation | persistence","domain:general | domain:general|trait:achievement","I stay motivated by noticing measurable progress in a group assignment."
"11","v7_class8_achievement_011","foundation","class-8","achievement","decision-making","general","","","","","","achievement","goal orientation | persistence","domain:general | domain:general|trait:achievement","If a school event is important to me, I can continue working even when progress is slow."
"12","v7_class8_achievement_012","foundation","class-8","achievement","preferences","general","","","","","","achievement","goal orientation | persistence","domain:general | domain:general|trait:achievement","I usually try to produce work I can be proud of when completing a club activity."
"13","v7_class8_achievement_013","foundation","class-8","achievement","strength","general","","","","","","achievement","goal orientation | persistence","domain:general | domain:general|trait:achievement","I feel motivated when a sports team activity gives me a difficult but achievable challenge."
"14","v7_class8_achievement_014","foundation","class-8","achievement","problem-solving","technology","science pcm | science pcmb | pcm computer science | pcm + computer science","mathematics | computer science | information technology | artificial intelligence | data science | physics","jee main | jee advanced | bitsat | viteee | srmjeee | met | comedk | cuet ug","btech computer science | bca | bsc computer science | bsc data science | btech ai | btech it","technology | software | data | computing","technology | achievement | analytical | quantitative | problem-solving","goal orientation | persistence","domain:technology | stream:science pcm | stream:science pcmb | stream:pcm computer science | stream:pcm + computer science | exam:jee main | exam:jee advanced | exam:bitsat | exam:viteee | exam:srmjeee | exam:met | exam:comedk | exam:cuet ug | stream:science pcm|subject:mathematics | stream:science pcm|subject:computer science | stream:science pcm|subject:information technology | stream:science pcm|subject:artificial intelligence | stream:science pcmb|subject:mathematics | stream:science pcmb|subject:computer science | stream:science pcmb|subject:information technology | stream:science pcmb|subject:artificial intelligence | stream:pcm computer science|subject:mathematics | stream:pcm computer science|subject:computer science | stream:pcm computer science|subject:information technology | stream:pcm computer science|subject:artificial intelligence | stream:pcm + computer science|subject:mathematics | stream:pcm + computer science|subject:computer science | stream:pcm + computer science|subject:information technology | stream:pcm + computer science|subject:artificial intelligence | stream:science pcm|exam:jee main | stream:science pcm|exam:jee advanced | stream:science pcm|exam:bitsat | stream:science pcm|exam:viteee | stream:science pcmb|exam:jee main | stream:science pcmb|exam:jee advanced | stream:science pcmb|exam:bitsat | stream:science pcmb|exam:viteee | stream:pcm computer science|exam:jee main | stream:pcm computer science|exam:jee advanced | stream:pcm computer science|exam:bitsat | stream:pcm computer science|exam:viteee | stream:pcm + computer science|exam:jee main | stream:pcm + computer science|exam:jee advanced | stream:pcm + computer science|exam:bitsat | stream:pcm + computer science|exam:viteee | exam:jee main|course:btech computer science | exam:jee main|course:bca | exam:jee main|course:bsc computer science | exam:jee main|course:bsc data science | exam:jee advanced|course:btech computer science | exam:jee advanced|course:bca | exam:jee advanced|course:bsc computer science | exam:jee advanced|course:bsc data science | exam:bitsat|course:btech computer science | exam:bitsat|course:bca | exam:bitsat|course:bsc computer science | exam:bitsat|course:bsc data science | exam:viteee|course:btech computer science | exam:viteee|course:bca | exam:viteee|course:bsc computer science | exam:viteee|course:bsc data science | domain:technology|trait:achievement","Finishing a digital project successfully gives me a strong sense of satisfaction."
